Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Модуль магнитной индукции,мкТл,2,uint16_t,16
Вектор угловой скорости  в СК КА,2000/32768 dps,6,3 * int16_t,18
Высота по Глонасс,"0,1м",4,int32_t,40
Широта по Глонасс,"0,0001°",4,int32_t,44
Долгота по Глонасс,"0,0001°",4,int32_t,48
Медианная температура панели +X,°C,1,int8_t,53
Медианная температура панели -X,°C,1,int8_t,54
"Статус солнечных панелей, битовая маска (в т.ч. ФЭП)", -,5,hex,59
Дата и время по датчику Глонасс,с,4,uint32_t,64
Полный уровень заряда АБ в mAh,mAh,2,uint16_t,77
"Статус АБ, битовая маска", -,3,hex,88
"Статус ключей заряда и разряда АБ, битовая маска", -,2,hex,91
"Статус линии пит. подсистем, битовая маска", -,1,hex,113
Полная мощность зарядки/разрядки АБ,мВт,2,int16_t,118
Угол между парой векторов приоритета 1,градус,2,uint16_t,118
Полная вырабатываемая мощность СБ,мВт,2,uint16_t,120
Угол между парой векторов приоритета 2,градус,2,uint16_t,120
Полная мощность потребления КА,мВт,2,uint16_t,122
Медианная температура PMM (один датчик),°C,1,int8_t,124
Медианная температура PAM,°C,1,int8_t,125
Медианная температура PDM,°C,1,int8_t,126
"Статус элементов системы модуля СЭС, битовая маска", -,3,hex,127
Указатель записи архива ТМИ, -,2,uint32_t,128
Медианная температура ДСГ1,°C,1,int8_t,129
Напряжение батарейной шины СЭС(МАЯК), -,2,uint16_t,130
Медианная температура ДСГ6,°C,1,int8_t,134
Температура платы модуля СОП,°C,1,int8_t,135
"Статус модуля СОП, бит. маска (в т.ч. номер активного СОП)", -,2,uint16_t,136
"Статус ДСГ, битовая маска", -,6,hex,138
Статус МС,Битовая маска,2,hex,138
Номер активного БРК, -,1,uint32_t,141
Количество перезапусков активного БРК, -,4,uint32_t,142
"Номер режима, в котором находится СмКА ", -,1,uint32_t,146
Мощность передатчика активного БРК,Вт,1,int32_t,147
Температура МК активного БРК,°C,1,int32_t,148
"Статус модуля активного БРК, битовая маска", -,2,hex,150
Напряжение смещения на усилителе мощности активного БРК,В,2,uint32_t,152
Номер ориентации (копия для ТМИ), -,1,uint8_t,154
Уровень последнего принятого сигнала (RSSI) актив. БРК,дБм,1,int32_t,154
Отн. сигнал/шум последнего принят. сигнала (SNR) актив. БРК,дБ,1,int32_t,155
Температура МС,°С,1,int32_t,164
Статус пит. ПН,Битовая маска,1,hex,169
Отн. сигнал/шум последнего принят. сигнала (SNR) деж. БРК,дБ,1,int32_t,189
