Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Высота по Глонасс,м,8,double,272
Широта по Глонасс,градусы,8,double,280
Долгота по Глонасс,градусы,8,double,288
Горизонтальная скорость,м/с,8,double,296
Азимут горизонтальной скорости,градусы,8,double,304
Вертикальная скорость,м/с,8,double,312
Дата и время по датчику Глонасс,"дата, время",7,struct time_t,320
Валидность данных Глонасс, -,1,uint8_t,327
Вектор ускорения ДСГ1,g/16384,6,3 * int16_t,328
Вектор ускорения ДСГ2,g/16384,6,3 * int16_t,334
Вектор ускорения ДСГ3,g/16384,6,3 * int16_t,340
Вектор ускорения ДСГ4,g/16384,6,3 * int16_t,346
Вектор ускорения ДСГ5,g/16384,6,3 * int16_t,352
Вектор ускорения ДСГ6,g/16384,6,3 * int16_t,358
Вектор ускорения СОП,g/16384,6,3 * int16_t,364
Температура платы модуля СОП (4 датчика),°C,4,4 * int8_t,370
Внутреннее время СОП для ТМИ5,мс,4,uint32_t,374
Дополнительные данные СОП - величина 3, -,9,hex,378
Версия програмного обеспечения FW ТМИ5, -,1,uint8_t,387
