Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Высота по Глонасс,"0,1м",4,int32_t,40
Широта по Глонасс,"0,0001°",4,int32_t,44
Долгота по Глонасс,"0,0001°",4,int32_t,48
Горизонтальная скорость,"0,01м/с",4,uint32_t,52
Азимут горизонтальной скорости,"0,1°",4,uint32_t,56
Вертикальная скорость,"0,01м/с",4,uint32_t,60
Дата и время по датчику Глонасс,с,4,uint32_t,64
Валидность данных Глонасс, -,1,uint8_t,68
"Антенна в прямой видимости, датчики видят Солнце", -,1,uint8_t,69
Количество перезапусков активного СОП, -,4,uint32_t,70
Модуль ускорения,g/16384,2,uint16_t,74
Вектор магнитной индукции ДСГ1,мкТл,3,3 * int8_t,76
Вектор магнитной индукции ДСГ2,мкТл,3,3 * int8_t,79
Вектор магнитной индукции ДСГ3,мкТл,3,3 * int8_t,82
Вектор магнитной индукции ДСГ4,мкТл,3,3 * int8_t,85
Вектор магнитной индукции ДСГ5,мкТл,3,3 * int8_t,88
Вектор магнитной индукции ДСГ6,мкТл,3,3 * int8_t,91
Вектор магнитной индукции модуля СОП,мкТл,3,3 * int8_t,94
Вектор угловой скорости ДСГ1,ln(dps),3,3 * int8_t,97
Вектор угловой скорости ДСГ2,ln(dps),3,3 * int8_t,100
Вектор угловой скорости ДСГ3,ln(dps),3,3 * int8_t,103
Вектор угловой скорости ДСГ4,ln(dps),3,3 * int8_t,106
Вектор угловой скорости ДСГ5,ln(dps),3,3 * int8_t,109
Вектор угловой скорости ДСГ6,ln(dps),3,3 * int8_t,112
Вектор угловой скорости СОП,ln(dps),3,3 * int8_t,115
Угол между парой векторов приоритета 1,градус,2,uint16_t,118
Угол между парой векторов приоритета 2,градус,2,uint16_t,120
Температура МК ДСГ1,°C,1,int8_t,122
Температура МК ДСГ2,°C,1,int8_t,123
Температура МК ДСГ3,°C,1,int8_t,124
Температура МК ДСГ4,°C,1,int8_t,125
Температура МК ДСГ5,°C,1,int8_t,126
Температура МК ДСГ6,°C,1,int8_t,127
Температура МК модуля СОП,°C,1,int8_t,128
Медианная температура ДСГ1,°C,1,int8_t,129
Медианная температура ДСГ2,°C,1,int8_t,130
Медианная температура ДСГ3,°C,1,int8_t,131
Медианная температура ДСГ4,°C,1,int8_t,132
Медианная температура ДСГ5,°C,1,int8_t,133
Медианная температура ДСГ6,°C,1,int8_t,134
Температура платы модуля СОП,°C,1,int8_t,135
"Статус модуля СОП, бит. маска (в т.ч. номер активного СОП)", -,2,uint16_t,136
"Статус ДСГ, битовая маска", -,6,hex,138
Внутреннее время СОП для ТМИ2,мс,4,uint32_t,144
Дополнительные данные СОП - величина 1,,2,uint16_t,148
Точность установления ориентации (копия для ТМИ),"0,01 градус",1,uint8_t,150
"Статус команды ""Остановить вращение КА"" (копия для ТМИ)", -,1,uint8_t,151
Точность остановки вращения (копия для ТМИ),"0,01 градус/c",1,uint8_t,152
"Статус команды ""Установить ориентацию"" (копия для ТМИ)", -,1,uint8_t,153
Номер ориентации (копия для ТМИ), -,1,uint8_t,154
Версия програмного обеспечения FW ТМИ2,-,1,uint8_t,155
