Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Вектор угловой скорости ДСГ1,2000/32768 dps,6,3 * int16_t,388
Вектор угловой скорости ДСГ2,2000/32768 dps,6,3 * int16_t,394
Вектор угловой скорости ДСГ3,2000/32768 dps,6,3 * int16_t,400
Вектор угловой скорости ДСГ4,2000/32768 dps,6,3 * int16_t,406
Вектор угловой скорости ДСГ5,2000/32768 dps,6,3 * int16_t,412
Вектор угловой скорости ДСГ6,2000/32768 dps,6,3 * int16_t,418
Вектор угловой скорости СОП,2000/32768 dps,6,3 * int16_t,424
Вектор магнитной индукции ДСГ1,100/4096 мкТл,6,3 * int16_t,430
Вектор магнитной индукции ДСГ2,100/4096 мкТл,6,3 * int16_t,436
Вектор магнитной индукции ДСГ3,100/4096 мкТл,6,3 * int16_t,442
Вектор магнитной индукции ДСГ4,100/4096 мкТл,6,3 * int16_t,448
Вектор магнитной индукции ДСГ5,100/4096 мкТл,6,3 * int16_t,454
Вектор магнитной индукции ДСГ6,100/4096 мкТл,6,3 * int16_t,460
Вектор магнитной индукции модуля СОП,100/4096 мкТл,6,3 * int16_t,466
Вектор углов СД1,-,4,uint32_t,472
Вектор углов СД2,-,4,uint32_t,476
Вектор углов СД3,-,4,uint32_t,480
Вектор углов СД4,-,4,uint32_t,484
Вектор углов СД5,-,4,uint32_t,488
Вектор углов СД6,-,4,uint32_t,492
Внутреннее время СОП для ТМИ6,мс,4,uint32_t,496
Дополнительные данные СОП - величина 4,,3,-,500
Версия програмного обеспечения FW ТМИ6, -,1,uint8_t,503
